GeneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ENSDARG00000000830,0,0,0,0,1.553575,0,0.547607,0,0,0,0,0,0,0.585742,1.232208,0,2.811805,3.631528,3.959779,3.07846,6.95687,6.776579,4.760967,3.955297,6.430485,4.059444,3.216185,3.150169,4.005171,5.465695,3.031996,3.829383,3.28669,0.613423,0,1.344838,0.584249,0.455469,0.814896,0.950015,0,0,0,0,0,0,0,0,0,0
ENSDARG00000000837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585742,1.583949,0.464466,1.540655,1.721641,4.567426,5.194299,3.917686,5.335177,4.624251,3.834387,5.188654,6.545301,3.261167,3.96655,1.680941,4.486174,2.670584,1.609558,1.216942,3.072884,0,0,0.707484,0,0,0,0.598124,0,0,0,0,0,0,0,0,0
ENSDARG00000000853,0,0,2.178075,1.045933,4.660724,0,2.190426,1.944342,2.641788,2.863895,3.88571,0,6.619284,5.664527,8.712834,12.023967,32.155502,31.01972,56.63139,66.898811,48.808445,49.140694,48.065582,40.20145,56.286049,65.164391,43.39386,44.284588,50.634415,43.102577,37.439571,43.457943,29.369301,28.292683,24.408495,21.312078,11.895555,3.188286,6.001222,6.311088,1.555329,1.117207,4.468925,0.545596,1.027853,0.636326,2.692825,1.989075,2.423621,0
ENSDARG00000000857,0,1.466685,2.178075,1.045933,0,2.837734,1.095213,6.805197,0.880596,2.863895,13.599987,0,5.548386,6.906796,16.016478,18.080303,42.802307,64.114319,79.017776,99.087372,98.416199,84.861641,69.608429,66.299263,83.440201,79.968407,94.972496,74.979218,67.23465,76.131584,67.828644,53.396343,27.049185,36.037354,23.587446,13.703668,9.940339,9.984348,8.183428,3.695889,3.215513,2.709575,5.45848,0.545596,1.027853,1.930133,1.767594,2.905644,0.959858,1.685327
ENSDARG00000000861,0,0,0,1.045933,0,0,1.095213,0.972171,1.761192,0,1.942855,0,0.792627,0.514957,1.232208,2.805072,2.698799,4.253871,8.175298,10.464696,8.679935,7.605331,7.81397,5.318811,5.989612,8.813141,7.751008,6.028292,9.219913,6.579126,5.776644,5.217874,3.828113,2.212539,1.97687,2.996122,0.84263,4.009885,0.368453,0,0,0,0,1.091193,0,0,0,0.765395,0,0
ENSDARG00000000887,20.365175,21.266928,31.58209,25.102386,26.41077,11.350938,27.927937,26.248619,42.268612,61.57375,91.314194,63.585117,82.239265,78.730034,97.160767,168.051147,291.220215,455.320251,511.590454,714.42041,619.221985,577.845215,539.891418,520.294434,520.137329,506.835541,545.661987,489.034485,443.4505,520.322998,426.789581,382.108856,316.066193,480.496307,227.945709,205.621964,137.789536,106.768272,61.734497,54.610256,34.457954,32.784508,21.184832,26.236443,25.807856,18.580383,15.124711,29.973013,22.748472,16.439472
ENSDARG00000000943,0,0,2.178075,0,0,0,0,0,0,0,0,0,0,0,1.232208,0.232233,0.422453,0.719984,5.300509,4.017219,6.575141,5.607139,7.072418,3.100006,7.668877,4.645108,5.888103,3.218643,7.348913,6.507596,7.354112,2.524893,4.252614,0.613423,1.556501,1.239308,1.617603,0.455469,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000000972,2.545647,0,3.267113,2.091866,0,2.837734,0,0,0,0.715974,0,0,0,0,0.616104,1.161166,4.079163,9.318332,7.724937,7.587197,10.155313,6.797649,8.559573,6.276645,12.651695,9.11164,5.829579,7.7565,5.568048,11.132676,3.895036,2.219781,2.684904,8.05548,1.551491,2.37985,2.909336,0,0.750898,0.332261,0.718161,0,0,0,1.027853,1.272652,0,0.458285,0,0
ENSDARG00000001057,2.545647,2.933369,1.089038,6.275597,1.553575,5.675469,2.190426,0.972171,0.880596,8.591686,7.771421,0,7.41191,8.239313,8.625456,11.220287,36.882366,44.906635,58.146408,63.606922,63.153904,64.093323,63.389538,48.641342,64.174263,56.524158,66.749229,43.460907,49.245869,49.815334,40.839874,35.516235,24.025509,44.019615,19.884184,16.117771,11.796312,11.345432,1.920255,2.420367,3.918492,2.671045,0.386597,1.80525,0,0.636326,0.462615,3.212754,1.439787,0
ENSDARG00000001129,0,0.733342,0,0,0,0,0.547607,0.972171,1.761192,2.147922,0,0,1.585253,1.029914,0.616104,0.928933,0.735692,4.914858,12.652037,10.226375,8.341019,8.888533,9.689663,8.30332,4.711798,10.306322,5.405968,3.589907,11.879311,8.14808,7.875991,4.439562,3.89739,5.590247,0.99094,4.178545,0.449104,1.366408,0,0.520338,0,1.810683,0.386597,0.714057,0.513927,0,0,0,0,1.710554
ENSDARG00000001162,2.545647,2.933369,1.089038,0,0,0,2.738033,3.888684,1.761192,2.147922,3.88571,0,5.826657,4.776183,10.561147,13.05988,31.667807,36.159321,52.114719,57.484905,57.523106,56.955257,49.529831,41.826591,46.399254,46.550797,44.202419,46.072361,38.120724,48.57299,35.262703,21.054966,17.781338,20.267813,15.960154,8.516124,7.245551,5.195578,1.934246,0.950015,0.359081,1.994712,1.15979,1.80525,2.256799,0,0.462615,1.374855,1.48774,0
