GeneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
ENSDARG00000001549,0.888376,0,0.651464,0,4.411883,1.748031,4.271149,4.000519,5.301165,2.235169,4.252773,7.284565,6.592999,5.817093,8.411293,15.494539,11.205709,13.928444,13.731689,9.233079,9.928778,19.63019,31.312902,21.117722,17.125103,13.031973,18.882393,14.761677,19.767242,22.638056,30.064194,13.532126,12.733143,14.066035,15.476974,19.584953,14.63488,20.763914,13.131946,13.305263,15.04401,17.629055,24.726971,33.233406,19.183397,17.590986,16.371803,0,0.8337,0,0,0,0,0,0,0
ENSDARG00000001557,0,0,1.302928,2.378818,0,1.748031,4.271149,0.800104,0.757309,1.117585,0,4.552854,0,1.939031,14.018822,8.854022,12.326281,12.5356,10.118087,4.103591,5.76856,9.870341,13.872381,11.46503,10.687488,10.455187,6.62521,9.581685,10.801847,16.337099,9.352112,13.636374,5.023726,10.373876,10.229738,9.777507,10.513878,9.06578,9.561017,5.704809,3.657512,9.763207,12.928562,16.760643,14.424922,15.636433,13.267573,2.783871,0,0,0,0,0,0,0,0
ENSDARG00000001558,2.665127,2.758277,1.302928,2.378818,2.941255,2.622046,7.83044,8.801142,9.845019,13.411016,13.821511,27.317122,19.778996,11.634187,25.233879,29.882326,38.099415,45.963867,43.363232,29.751034,29.443264,46.75742,9.568224,62.948818,36.024071,40.069347,44.2463,43.721889,45.040108,42.347382,34.767086,35.158642,38.547085,32.078339,46.640091,53.886623,33.188965,39.978794,31.771658,34.148659,22.041492,54.752319,64.621643,57.125515,57.55019,41.991825,51.544346,2.783871,1.6674,1.21609,0,0,0.513884,0,0,0
ENSDARG00000001578,0,0,0.651464,0,2.205941,1.748031,0.711858,2.400311,0.757309,3.352754,10.631932,5.463424,7.417124,3.878062,1.869176,7.193893,6.723426,9.749911,8.672647,9.233079,8.727851,14.129317,14.608398,19.581345,10.426332,11.403943,10.298141,14.925111,18.357061,20.408043,11.35997,14.130714,10.395109,8.400743,12.092662,8.087484,10.002484,12.270293,11.838972,9.157936,16.189472,15.26108,12.474351,12.179127,18.109941,10.992904,15.746243,0,0.8337,0.608045,0,0,0,0,0,0
ENSDARG00000001621,0,0,1.302928,0,0.735314,0,1.423716,0,1.514618,0,3.18958,1.821141,1.64825,3.878062,0.934588,2.766882,3.361713,6.964222,2.168162,5.129488,3.688452,7.119905,2.208052,7.154599,6.959925,6.54066,2.808584,6.647223,7.083094,9.942003,2.007858,6.713939,2.148553,1.973133,7.975437,7.664979,3.671527,2.787594,3.946324,5.373289,0.731502,5.189738,4.700348,13.69281,5.912026,4.456997,6.345873,0,0,0,0,0,0,0,0,0
ENSDARG00000001637,0,0,0.651464,0,0,0,0,1.600208,0,3.352754,2.126386,3.186997,4.120624,0.969516,2.803764,3.320258,2.241142,2.785689,0.722721,1.025898,7.119507,4.148483,1.472034,4.110981,5.969522,2.869008,1.872389,3.786827,5.525457,5.185949,1.338572,3.98162,4.486588,2.959699,4.723491,4.969151,4.683625,4.038351,1.011714,2.520884,6.997483,2.9679,3.887002,5.531217,2.867896,4.519175,5.23217,0,0,0,0,0,0,0,0,0
ENSDARG00000001676,0,0,0.651464,0.792939,0.735314,0.874016,0,1.600208,0.757309,1.117585,0,1.821141,5.768874,2.908547,1.869176,2.213506,4.482284,1.392844,1.445441,5.129488,6.240325,9.548453,17.440521,6.527115,9.201884,9.14212,6.481514,6.669565,2.52171,6.569776,12.029256,2.784444,3.22283,5.186938,2.210179,6.980762,3.294663,4.884389,2.93461,4.510007,18.797941,6.130487,5.03832,9.111294,6.275193,7.482095,6.296141,1.391936,0,0,0,0,0,0,0,0
ENSDARG00000001729,0,0,0,3.171757,1.470628,1.748031,2.847433,3.200415,5.301165,4.470338,7.442352,10.926848,10.713623,10.664671,9.345881,19.921551,11.205709,18.106977,18.068012,14.362568,14.153343,28.957657,33.520954,27.938089,41.993595,21.29936,22.094627,23.965996,25.977955,34.313244,37.390556,27.272749,31.943251,28.132071,30.386082,32.963177,26.295385,17.130283,18.46538,18.809832,20.578487,30.376991,32.09951,25.411428,28.940634,13.009635,25.68449,0,1.6674,1.21609,0,0,0,0,0,0
ENSDARG00000001733,0.888376,0,0,0,0,0,0,0,0,0,0,0.910571,0,0,0,1.106753,3.361713,0,0.722721,0,0.536114,1.186651,17.440521,0.77411,2.737161,0.388985,0.388847,1.074561,0.482037,0,6.005682,1.145052,1.074277,0.986566,0.9094,0.714156,0.444129,0.833838,1.011714,0.33152,0,1.540673,1.774515,0.828812,0.89722,1.008366,0.976288,0,0,0,0,0,0,0,0,0
ENSDARG00000001734,0,0,0,3.171757,0,0.874016,1.423716,0.800104,0.757309,1.117585,0,2.276427,0.824125,1.939031,1.869176,0.553376,3.361713,2.785689,2.168162,5.129488,4.224566,3.394213,10.192295,5.805828,9.931131,3.282667,4.911321,5.424531,6.276394,8.383497,8.682826,5.673135,10.236933,1.973133,4.376235,7.272413,6.775086,6.135147,4.274652,1.094682,2.194507,5.627665,8.249378,1.559785,5.735791,7.357739,10.025929,0,0,0,0,0,0,0,0,0
ENSDARG00000001754,0,0,0.651464,0,0.735314,0.874016,1.423716,0,6.815783,10.058262,4.252773,11.382133,9.889498,6.786609,9.345881,10.514152,12.326281,9.749911,13.008969,6.155386,10.057475,19.308302,13.872381,10.878525,5.942413,14.394388,12.257182,11.508612,16.687899,8.128282,20.042795,7.078807,8.594213,10.11977,13.349318,9.224146,12.228475,5.849067,14.264528,13.968304,40.107929,10.509269,16.308607,16.564964,18.558552,14.503713,16.371803,1.391936,0.8337,0.608045,0,0,0,0,0,0
ENSDARG00000001769,0,0,0,0.792939,0,3.496062,3.559291,4.000519,2.271928,2.235169,3.18958,5.463424,5.768874,10.664671,3.738353,9.407399,5.602855,5.571378,7.949925,11.284875,4.696332,11.001746,20.496536,12.573372,17.386257,12.011128,12.963029,14.93215,13.267795,10.452435,1.338572,13.089911,6.635141,5.919398,13.39344,7.795834,11.211032,11.984214,12.040036,12.542102,16.189472,14.30447,19.910383,15.010817,21.688126,17.528811,9.36242,0,0,0.608045,0,0,0,0.651616,0,0
ENSDARG00000001776,0,0,0,0,0.735314,0,0,0,0,0,1.063193,0,0,0,0.934588,1.106753,1.120571,0,0,1.025898,0,1.94092,16.704504,1.548221,5.474321,2.747571,0.547347,0.65955,0.964073,0.604574,6.674968,2.342228,0.537138,0,0.303133,0.714156,0.697154,1.119917,1.011714,2.389604,0.731502,0.616269,2.566697,2.388597,1.073455,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000001777,0,0.919426,1.954392,0.792939,2.205941,4.370078,2.847433,3.200415,4.543855,5.587923,1.063193,16.390272,18.130747,19.39031,16.822586,29.328949,38.099415,34.82111,23.849777,34.880524,13.274161,20.97299,21.856625,45.449375,28.830101,20.47204,28.08584,31.324492,36.510902,32.929417,8.031431,26.465666,27.993801,19.985434,26.439625,23.024876,25.277943,29.163296,26.109896,19.079033,23.504498,42.394241,46.242882,43.058258,31.269129,29.256134,28.43799,0,0,0,0,0,0,0,0,0.852598
ENSDARG00000001788,1.776751,0,0,0,0.735314,0.874016,0,4.000519,1.514618,0,3.18958,7.284565,9.889498,8.725639,10.280469,13.83441,4.482284,6.964222,7.949925,11.284875,9.113944,9.060825,6.624155,13.482265,14.153895,7.853727,10.528489,9.752158,16.002642,16.686457,10.021398,10.253343,5.371383,18.998867,7.931315,10.360807,8.489682,10.328737,6.525875,10.484017,6.583522,10.444372,12.167961,9.623539,15.236698,13.407934,13.705985,1.391936,0,0,0,0,0,0,0,0
