GeneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ENSDARG00000000489,0,0,1.095181,0,1.232478,1.387845,0,0.289741,2.818716,6.504648,8.724134,4.529078,5.728792,4.665565,8.189775,7.397639,6.994688,6.667863,9.783159,11.813471,7.552832,12.704659,6.940084,12.775229,14.889853,17.700455,15.333201,13.6025,9.3158,9.268742,5.200881,9.427919,10.05463,10.088555,6.470364,10.512847,7.696362,8.952529,7.120121,5.606465,3.7462,1.547616,2.071419,0,0,0.499524,0,0,0
ENSDARG00000000529,0,0,2.190363,0.800764,0.616239,0,1.143735,0.289741,3.712311,2.114348,5.356762,4.201122,4.289693,3.457829,4.199042,3.043858,4.98524,6.246452,7.081097,5.812418,2.802969,7.1123,5.200199,4.130398,6.601111,7.922854,9.480403,18.449913,3.360477,10.662789,5.852538,4.354375,2.949651,6.124559,7.375335,7.112685,7.946383,10.879269,8.060356,3.513766,1.672247,1.754184,0,1.152141,0,0,0,0,0
ENSDARG00000000540,0,0,0,0,0,0,0,0.289741,0.687289,6.260892,1.723359,1.370448,3.863181,3.123189,8.642415,3.760122,3.283916,8.971776,3.574422,3.844516,1.359654,3.953562,4.136505,3.537545,6.413986,7.453863,7.177721,4.572456,5.062038,4.336142,4.283949,7.741808,4.257534,5.596104,4.537769,3.325116,6.830071,4.072747,7.979692,5.373057,4.27875,2.387939,1.035709,0,0,0,1.280159,0,0
ENSDARG00000000542,0,0,1.095181,0,1.232478,0,1.143735,0.674327,1.168273,2.601859,5.622792,6.822316,9.165461,9.246502,8.26561,8.275511,9.799198,8.124733,11.607798,10.39222,8.811011,7.595362,9.130121,9.371894,10.328001,11.905427,15.374854,10.939628,2.126881,5.899828,7.61516,9.193685,10.05463,7.939783,5.039099,9.818921,6.293982,6.288545,7.278607,3.95199,4.680456,3.44888,0,0,0,0,0,0,0
ENSDARG00000000567,0.835691,0,0,4.804581,3.697435,0,2.287471,0.579482,3.574378,16.139742,15.637406,22.195278,29.309816,21.200802,19.749065,21.117928,20.853794,21.377274,23.63167,28.204296,16.887455,25.26487,26.902813,27.011108,32.621738,29.605883,35.492805,18.921656,12.85628,19.641024,30.532009,20.09972,27.940229,19.515226,27.474936,24.034868,26.48213,27.421625,30.635685,25.833231,24.084023,14.222707,16.57135,2.304281,0,1.498573,0,0,0
ENSDARG00000000568,0,0,0,0,0,0,0,0,1.031527,2.358104,5.31709,2.830673,4.289693,2.665483,1.497423,6.691674,3.632096,4.596962,5.788572,6.261762,7.424196,7.341933,6.220557,12.130603,5.456089,4.059454,8.025486,15.269622,1.573909,3.874433,5.981332,7.507573,2.628044,6.576326,5.170913,6.080201,5.200417,5.503845,4.072644,3.732878,4.48419,5.497223,1.035709,0,0,0,0,0,0
ENSDARG00000000729,0,0,2.190363,3.203054,0,2.77569,0,0.869223,3.642752,1.30093,7.513,4.201122,5.288477,6.996409,10.760342,10.344127,19.369425,14.480306,13.991203,8.785935,7.668047,15.403593,11.893058,11.799645,9.515298,10.694509,11.602333,13.065312,7.316571,5.043427,4.347504,14.370767,11.532184,10.050711,8.848755,8.234199,11.693592,16.828936,10.380427,6.871926,5.54929,3.301801,4.142838,0,10.085702,0,0,0,0
ENSDARG00000000760,0,0,0,0,0,0,2.287471,0,1.031527,0.528587,2.708135,1.936583,1.345515,3.580895,3.784636,3.100011,3.651645,7.889301,3.394992,3.696745,3.265966,2.884178,2.960067,3.409859,1.408635,2.029727,1.454917,5.843163,1.446256,1.95774,5.062838,1.266527,1.043517,1.065859,2.611447,4.432645,5.192419,1.702436,1.911058,1.04635,4.213328,1.12043,4.142838,0,0,0,0,0,0
ENSDARG00000000779,0,0,0,3.203054,0,0,0,0.289741,3.2997,4.18762,7.612181,11.111989,6.900942,13.662057,19.273127,15.367129,15.658175,15.633313,14.467343,13.4365,15.566484,10.658198,13.776875,16.978277,12.263863,16.186563,21.495579,15.807264,9.400806,13.084364,20.224796,12.870005,13.116022,7.996576,13.378325,12.011328,8.096084,14.20039,16.138502,12.527602,5.418447,9.874017,5.178547,3.456422,0,0.999049,0,0,0
ENSDARG00000000830,0,1.933264,0,0.800764,0,0,0,0,0.206305,1.829517,0.984776,1.102344,1.772027,2.207778,1.369215,1.759169,2.765413,4.528848,2.286118,1.625487,2.023704,1.494349,1.680339,2.747619,1.319319,0.989236,5.185202,2.279638,10.22878,3.465376,1.233511,0.91229,3.824186,3.331007,2.225832,0.825173,3.892967,3.446319,1.310268,1.717982,1.737669,0.280107,1.035709,0,0,0.499524,0,0,0
ENSDARG00000000853,0,0,1.095181,1.601527,0.616239,1.387845,0,0.869223,5.567873,8.334165,15.577898,22.433456,23.300272,24.197048,29.694897,28.615337,25.596611,24.39591,24.871952,34.792831,30.118362,22.768784,29.513182,29.629084,35.308834,47.528019,35.437595,32.510975,50.518879,22.317656,32.206207,39.717094,29.151033,24.496393,26.834854,24.716581,29.825619,35.433548,23.55895,20.587187,23.673141,17.184912,4.142838,2.304281,0,0,1.280159,0,0
ENSDARG00000000857,0,0,0,0,2.464957,1.387845,5.718676,4.620242,7.630927,16.668329,26.104736,31.132504,29.628941,26.824093,38.239594,31.326731,26.099569,39.955956,39.928982,37.927296,34.859756,34.524948,30.899038,55.985779,39.682262,60.201,48.61245,46.382298,25.617565,34.928703,36.786304,37.886333,34.047012,38.971764,37.999893,39.369801,41.090111,39.236237,32.374733,36.931793,15.255661,12.528011,4.142838,6.912844,0,0,0,0,0
ENSDARG00000000861,0,0,0,0,0.616239,0,0,0,1.512511,0.528587,1.230971,1.906657,2.358102,5.665606,4.368328,3.082839,2.338079,1.394765,4.661084,2.360772,1.215101,5.332975,4.6905,1.576591,2.666667,4.033827,1.125962,3.032928,2.679853,4.15766,9.754792,9.189172,4.870087,3.340008,4.274141,3.364543,4.098854,7.024817,3.474418,2.764331,2.606503,0.913862,1.035709,1.152141,0,0,0,0,0
ENSDARG00000000887,1.671382,3.866527,9.856632,18.417561,16.638458,16.65414,17.156029,34.190601,103.953003,174.735321,246.104218,245.2742,195.529266,201.669098,314.619415,313.171112,372.545898,381.25061,306.324432,315.701385,302.220917,342.178436,287.906403,385.121185,354.379425,451.144989,420.692719,443.008301,426.420807,270.912018,349.822968,355.288239,301.464081,295.800537,309.529907,395.420837,338.801483,360.647888,334.816742,347.309967,286.505096,175.531754,187.463409,73.737,10.085702,5.494767,2.560317,0.919008,2.003703
ENSDARG00000000972,0,0,0,0.800764,0.616239,0,0,0.289741,0.412611,1.30093,4.086119,3.575136,2.850594,0.957726,4.816701,3.676498,3.481322,4.597278,6.480125,4.344305,5.750491,4.542311,4.46177,3.214416,2.94329,6.686308,5.921765,8.895861,1.914221,3.407201,3.641542,3.407154,5.510918,4.146114,4.458899,1.34002,4.653634,5.874289,4.008764,3.577273,1.606825,0.987402,0,0,0,0,0,0,0
