geneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
DjGI000009_002,130,211,147,213,497,200,636,571,1460,217,2018,1763,3595,781,1841,1779,2012,146,478,366,402,305,1070,189,439,465,234,108
DjGI000009_003,86,184,318,1290,5381,121,7303,6150,12665,1615,13397,11849,23813,5924,16347,14934,15328,13,2369,1291,3688,1170,19783,3509,5821,207,339,130
DjGI000010_001,16,9,2,3,19,2,86,43,42,6,64,80,102,73,110,96,94,11,30,25,23,20,20,21,15,9,6,6
DjGI000010_002,0,0,0,0,10,0,4,16,16,0,5,29,50,1,3,0,37,0,0,0,4,0,21,4,0,0,25,0
DjGI000010_003,0,0,7,0,0,0,0,12,12,5,64,87,106,46,110,32,30,0,0,1,0,0,1,0,0,0,0,0
DjGI000011_001,0,0,0,0,0,0,10,0,34,0,26,44,31,0,37,37,23,0,4,10,14,0,0,0,11,0,0,0
DjGI000011_002,0,0,0,0,0,0,0,0,0,0,24,0,0,5,10,0,12,0,0,0,0,0,0,0,0,0,0,0
DjGI000011_003,4,0,0,0,11,0,40,37,36,1,10,59,53,27,76,53,25,0,19,6,1,0,13,5,13,0,3,0
DjGI000011_004,0,0,0,0,6,13,1,4,0,0,19,15,31,17,5,15,0,0,0,6,1,24,0,0,0,0,0,0
DjGI000011_005,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DjGI000011_006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000011_007,0,0,0,0,11,0,23,2,78,2,26,72,120,22,131,102,163,0,0,0,13,9,63,12,0,1,0,0
DjGI000011_008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000011_009,0,0,4,4,47,0,54,50,34,1,51,31,155,25,49,42,39,0,11,4,39,1,138,22,32,0,0,0
DjGI000011_010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,0,0,0,0,0,0,1,0,0,4,0
DjGI000011_011,0,0,0,0,0,0,5,2,4,0,25,3,33,4,6,0,0,0,9,0,4,0,0,0,12,0,0,0
DjGI000011_012,6,3,11,19,134,2,551,374,917,111,1183,1077,2678,787,1522,1553,1107,11,257,103,264,27,513,165,240,22,15,0
DjGI000012_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000012_002,0,0,6,19,16,9,8,13,58,11,185,244,304,63,173,184,143,1,4,3,48,9,43,0,14,0,0,19
DjGI000012_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000012_004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000012_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000012_006,98,86,96,63,191,100,180,161,118,56,339,283,425,235,303,177,307,155,236,86,173,202,86,53,103,194,53,137
DjGI000012_007,0,0,0,0,19,0,29,24,53,0,47,38,55,33,105,83,71,0,29,12,38,17,0,0,25,0,9,0
DjGI000012_008,5,17,4,3,160,0,338,343,599,62,959,1310,2092,381,1376,1118,983,15,126,59,179,66,409,73,37,24,0,3
DjGI000012_009,33,12,27,77,462,19,1084,1155,2920,297,3248,3179,5599,1710,4454,3749,3040,24,465,299,387,116,1006,200,280,24,13,0
DjGI000012_010,16,61,49,208,953,39,2208,3161,5757,382,6527,7903,14733,3986,10200,7876,7868,44,1517,577,989,280,1942,423,667,46,103,34
DjGI000012_011,12,30,23,110,488,46,1582,1858,3582,273,3858,4462,7768,2684,6284,4521,4596,29,1176,460,722,246,1113,239,381,51,55,16
DjGI000013_001,6,25,11,0,21,10,5,6,2,3,5,1,33,18,30,14,14,15,0,13,33,28,0,0,19,0,22,10
DjGI000013_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000013_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000013_004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000013_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000013_006,787,966,681,620,901,855,1459,894,954,418,1613,938,1398,1070,930,863,996,729,798,949,1038,961,445,334,881,1487,759,783
DjGI000013_007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000014_001,0,1,0,3,4,5,11,1,9,1,19,16,22,15,20,6,16,1,1,0,5,6,7,5,5,4,4,2
DjGI000014_002,0,0,0,4,6,5,14,12,14,0,19,15,39,28,23,12,17,0,7,2,13,1,12,4,2,0,4,0
DjGI000014_003,4,4,11,4,1,1,16,3,6,1,8,29,34,12,27,28,16,2,8,10,8,0,23,0,5,0,4,0
DjGI000014_004,3,0,0,2,2,2,17,5,9,1,17,12,15,13,12,9,24,1,1,3,9,2,4,5,1,1,3,0
DjGI000014_005,0,3,0,0,7,1,5,11,19,1,23,18,17,11,11,28,20,0,0,17,0,2,24,9,8,3,5,1
