geneID1,geneID2,cor,pValue,pValueAdjusted
DjGI008464_001,DjGI001067_004,NA,NA,NA
DjGI008464_001,DjGI001068_001,NA,NA,NA
DjGI008464_001,DjGI001068_002,NA,NA,NA
DjGI008464_001,DjGI001068_003,NA,NA,NA
DjGI008464_001,DjGI001069_001,NA,NA,NA
DjGI008464_001,DjGI001069_002,NA,NA,NA
DjGI008464_001,DjGI001069_003,NA,NA,NA
DjGI008464_001,DjGI001069_004,NA,NA,NA
DjGI008464_001,DjGI001070_001,NA,NA,NA
DjGI008464_001,DjGI001070_002,NA,NA,NA
DjGI008464_001,DjGI001070_003,NA,NA,NA
DjGI008464_001,DjGI001070_004,NA,NA,NA
DjGI008464_001,DjGI001071_001,NA,NA,NA
DjGI008464_001,DjGI001071_002,NA,NA,NA
DjGI008464_001,DjGI001072_001,NA,NA,NA
DjGI008464_001,DjGI001072_002,NA,NA,NA
DjGI008464_001,DjGI001072_003,NA,NA,NA
DjGI008464_001,DjGI001072_004,NA,NA,NA
DjGI008464_001,DjGI001073_001,NA,NA,NA
DjGI008464_001,DjGI001073_002,NA,NA,NA
DjGI008464_001,DjGI001073_003,NA,NA,NA
DjGI008464_001,DjGI001073_004,NA,NA,NA
DjGI008464_001,DjGI001075_001,NA,NA,NA
DjGI008464_001,DjGI001090_003,NA,NA,NA
DjGI008464_001,DjGI001115_002,NA,NA,NA
DjGI008464_001,DjGI001118_002,NA,NA,NA
DjGI008464_001,DjGI001121_001,NA,NA,NA
DjGI008464_001,DjGI001121_002,NA,NA,NA
DjGI008464_001,DjGI001124_001,NA,NA,NA
DjGI008464_001,DjGI001124_002,NA,NA,NA
DjGI008464_001,DjGI001126_003,NA,NA,NA
DjGI008464_001,DjGI001129_001,NA,NA,NA
DjGI008464_001,DjGI001129_002,NA,NA,NA
DjGI008464_001,DjGI001129_003,NA,NA,NA
DjGI008464_001,DjGI001133_001,NA,NA,NA
DjGI008464_001,DjGI001133_002,NA,NA,NA
DjGI008464_001,DjGI001133_003,NA,NA,NA
DjGI008464_001,DjGI001136_003,NA,NA,NA
DjGI008464_001,DjGI001141_001,NA,NA,NA
DjGI008464_001,DjGI001141_002,NA,NA,NA
